gene,evidence_tier,biological_axis,actionability_note,median_high,median_low,delta_high_low,p_wilcox,rho_RAIR_like,p_rho_RAIR_like,rho_TDS,p_rho_TDS,priority_score,n_external_up_validations,best_external_padj,GSE33630_delta,GSE33630_padj,GSE76039_delta,GSE76039_padj
KRT19,Tier 2_supportive_marker_axis,dedifferentiated epithelial,epithelial dedifferentiation marker; one external validation,9.12031694471479,7.54431034017985,1.57600660453494,3.16404683589145e-30,0.617321421583152,0,-0.567283405359169,0,18,1,0.0100601655924662,-1.45760569,0.0100601655924662,3.860501551,0.0116222716710376
SHMT2,Tier 2_supportive_marker_axis,mitochondrial one-carbon,"one-carbon support gene; TCGA signal, external GEO borderline after FDR",5.3424551869822,5.03725553849558,0.305199648486625,5.66593486725587e-22,0.49773850055813,0,0.0521017940303347,0.242419498900424,78,0,0.0535623710165472,1.062320881,0.0688263766882259,0.5279571135,0.0535623710165472
DUSP6,Tier 3_deprioritize_as_primary_marker,MAPK feedback,TCGA-correlated but not externally stable,8.92183677258795,7.7288261088067,1.19301066378125,5.60862492285399e-47,0.764330532432125,0,-0.14450181042949,0.00114041198952414,21,0,0.000170374340974891,-1.883120368,0.000170374340974891,0.215183314999999,0.911931439764781
MET,Tier 3_deprioritize_as_primary_marker,RTK,TCGA-correlated but reverses/fails in external ATC validation,8.34916974604327,6.74234095925174,1.60682878679153,1.95730490546785e-49,0.754078730854452,0,-0.330213580364248,3.51233416255659e-14,10,0,0.000170374340974891,-1.76552359,0.000170374340974891,-0.14361596,0.987993147880946
DUSP4,Tier 3_deprioritize_as_primary_marker,MAPK feedback,TCGA-correlated but not externally stable,4.86596334148979,3.96368217628832,0.902281165201472,2.2882790257418e-38,0.677040250608912,0,-0.109429887088088,0.013912010661282,31,0,1.29232984555317e-05,-2.573809697,1.29232984555317e-05,-0.893833737,0.268045020720599
CCND1,Tier 3_deprioritize_as_primary_marker,cell cycle/MAPK,TCGA-correlated but not externally stable,8.46759780678375,7.6356164511419,0.831981355641848,1.28431489510845e-36,0.660560031158395,0,0.113497436700192,0.0107293235930508,41,0,7.15114999696792e-08,-1.506584042,7.15114999696792e-08,-0.414575620000001,0.0636185475529916
PIK3CA,Tier 3_deprioritize_as_primary_marker,PI3K,TCGA-correlated but not externally stable as expression marker,2.91582680762387,2.27221726251131,0.643609545112561,1.20702672586246e-36,0.653726816479633,6.94832584791884e-63,0.191652415047073,1.44807862352911e-05,51,0,0.0533012701799276,0.199160946999999,0.357962128848396,0.285622968499999,0.0533012701799276
HMGA2,Tier 3_deprioritize_as_primary_marker,EMT/chromatin,TCGA-correlated but not externally stable,3.95628902658394,2.57504442775728,1.38124459882666,3.39288158140191e-29,0.587223440990608,3.92031825122895e-48,-0.205030119588747,3.39248804246228e-06,30,0,0.0540441144165089,-0.107571245000001,0.357962128848396,1.237583826,0.0540441144165089
ETV4,Tier 3_deprioritize_as_primary_marker,ETS/MAPK,TCGA-correlated but not externally stable,5.85007679473739,5.02401819944836,0.826058595289026,2.153869995853e-31,0.584160558913034,0,0.00767499110159463,0.863351767865817,47,0,0.141274905665172,-0.422922262999999,0.141274905665172,-0.225688838,0.520376901201907
ETV5,Tier 3_deprioritize_as_primary_marker,ETS/MAPK,TCGA-correlated but not externally stable,6.02273398914152,5.37308263088036,0.649651358261168,2.45760580436491e-25,0.53978174214937,0,0.32089513299156,1.97461109606672e-13,65,0,4.09895093785074e-06,-1.43978177,4.09895093785074e-06,-1.3620540175,2.71279470389593e-05
ALK,Tier 3_deprioritize_as_primary_marker,RTK,TCGA-correlated but not externally stable as expression marker,1.38427089254241,0.773700783699484,0.610570108842931,5.41313311555002e-24,0.525041456209841,4.00645263850544e-37,-0.0340175843234116,0.445596668632737,60,0,0.369975404560618,-0.100890977,0.369975404560618,0.0490318380000003,0.641737142936572
